ROWID,Country,State lgd code,State,District lgd code,District,YearCode,Year,Social group type,Land area size,Category of holdings,Wholly irrigated holdings,Area of wholly irrigated holdings,Wholly unirrigated holdings,Area of wholly unirrigated holdings,Partially irrigated holdings,Irrigated area of partially irrigated holdings,Area of partially irrigated holdings,Holdings receiving irrigation,Net irrigated area of holdings receiving irrigation
46,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,1,4,0,0,0,0,0,1,4
47,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,1,6.35,0,0,0,0,0,1,6.35
48,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,4,32.35,0,0,0,0,0,4,32.35
49,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,1,23.3,3,14.234,0,0,0,1,23.3
50,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,117,25.25,0,0,0,0,0,117,25.25
51,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,7209,4401.905,3864,2372.4,9737,3448.419,6338.933,16946,7850.324
52,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,1590,1937.679,1432,1889.679,3672,2620.337,4734.686,5262,4558.016
53,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,12,135.95,3,42.9,0,0,0,12,135.95
54,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,370,804.883,941,2150.668,733,849.843,1687.609,1103,1654.726
55,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,41,126,171,544.907,65,63.042,200.128,106,189.042
56,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,23,102.755,89,402.684,20,54.997,88.539,43,157.752
57,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,23,147.8,3,17,0,0,0,23,147.8
58,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,7,58.3,0,0,0,0,0,7,58.3
59,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0,0,0,0,0,0
60,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,54744,11030.311,16792,3150.474,13812,2455.871,3912.393,68556,13486.182
61,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
62,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
63,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
64,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
65,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
66,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
67,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
68,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
69,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0
70,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
71,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,77,58.47,212,150.905,35,16.538,25.346,112,75.008
72,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,4,6.491,58,100.951,7,6.568,14.208,11,13.059
73,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
74,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,0,0,2,4.8,0,0,0,0,0
75,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
76,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
77,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
78,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
79,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0,0,0,0,0,0
80,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,224,81.364,1102,420.724,5,0.51,1.656,229,81.874
81,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,14,9.55,4,3.2,0,0,0,14,9.55
82,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,13,18,0,0,0,0,0,13,18
83,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,1,11.25,0,0,0,0,0,1,11.25
84,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,2,5,0,0,0,0,0,2,5
85,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,9,30.65,0,0,0,0,0,9,30.65
86,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,1,4.15,0,0,0,0,0,1,4.15
87,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
88,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,1,9.8,0,0,0,0,0,1,9.8
89,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,1,88.3,0,0,0,0,0,1,88.3
90,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,42,8.94,4,1,12,2.909,4.05,54,11.849
91,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,5256,3524.276,5555,3687.201,13010,4218.152,9028.51,18266,7742.428
92,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,1751,2260.689,2290,2867.833,7667,4532.109,10393.959,9418,6792.798
93,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,4,55.872,4,42.978,1,0.518,3.675,5,56.39
94,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,736,1614.9,443,980.104,1768,1735.194,4084.007,2504,3350.094
95,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,158,512.921,246,802.241,420,484.7,1312.067,578,997.621
96,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,79,325.287,24,100.02,133,212.978,561.843,212,538.265
97,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,146,804.831,9,47.876,94,139.283,492.728,240,944.114
98,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,18,152.85,0,0,8,17.911,64.35,26,170.761
99,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,10,338.65,0,0,0,0,0,10,338.65
100,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,38800,7681.547,26967,5293.786,18196,2907.973,5905.67,56996,10589.52
101,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
102,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
103,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
104,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
105,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
106,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
107,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
108,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
109,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0
110,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
111,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,157,105.961,554,335.671,124,35.995,85.041,281,141.956
112,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,6,4.76,414,472.744,100,21.093,110.6,106,25.853
113,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
114,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,9,22.323,78,169.207,13,4.031,19.839,22,26.354
115,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,1,3.1,33,71.401,1,0.213,3.2,2,3.313
116,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,8,35.05,0,0,1,0.15,4.15,9,35.2
117,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,3,17.65,0,0,2,0.883,12.55,5,18.533
118,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,1,8.45,0,0,4,2.552,33.25,5,11.002
119,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,5,185.55,0,0,0,0,0,5,185.55
120,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,392,52.594,2461,444.032,470,32.886,61.454,862,85.48
121,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,2,1.2,0,0,0,0,0,2,1.2
122,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,6,6.9,0,0,0,0,0,6,6.9
123,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
124,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,4,9.7,0,0,0,0,0,4,9.7
125,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,2,6.6,0,0,0,0,0,2,6.6
126,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
127,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
128,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
129,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,0,0,0,0,0,0,0,0,0
130,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,110,14.95,3,0.58,0,0,0,110,14.95
131,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,1261,834.895,7634,4282.257,1350,236.494,828.487,2611,1071.389
132,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,746,1005.492,5040,5543.766,1525,439.614,1652.316,2271,1445.106
133,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
134,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,156,388.955,1148,2244.174,497,185.501,909.255,653,574.456
135,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,69,235.472,405,942.438,103,49.377,260.814,172,284.849
136,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,61,264.784,61,217.715,12,3.434,39.003,73,268.218
137,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,50,299.2,0,0,2,0.882,4.926,52,300.082
138,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,1,7.65,0,0,0,0,0,1,7.65
139,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0,0,0,0,0,0
140,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,7718,1142.138,16356,3294.204,928,90.905,260.764,8646,1233.043
141,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,311,200.15,1626,860.266,352,43.388,203.719,663,243.538
142,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,192,263.703,696,710.269,360,74.767,403.955,552,338.47
143,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
144,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,86,199.422,144,258.575,72,23.752,142.266,158,223.174
145,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,24,85.49,19,50.456,8,1.725,19.085,32,87.215
146,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,5,22.3,2,7.235,2,0.312,5.413,7,22.612
147,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,5,30.6,0,0,0,0,0,5,30.6
148,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,1,7.55,0,0,0,0,0,1,7.55
149,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0
